Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,10756,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,COMPLETE MEDIA GROUP,Advertising,Commercial,10757,3255
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,VOHM,Marketing,Commercial,10758,600
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GREATER LONDON HIRE LTD,Travel,Event Management,10764,739.16
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GREATER LONDON HIRE LTD,Travel,Operations,10764,37.66
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GREATER LONDON HIRE LTD,Travel,Commercial,10764,37.54
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,AMES CONTRACTING LTD,Building Improvements,Operations,10765,25985
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,DULUX DECORATOR CENTRE,Maintenance,Operations,10766,467.23
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,UBM INFORMATION LTD,Exhibitions,Commercial,10768,1750
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,Trinity Conferences Limted,Cost of Sales - Commission,Commercial,10771,1335.95
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,10772,648
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10774,1594.17
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10776,1127.16
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10778,2957.34
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10779,998.1
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10780,771.49
Communities And Local Government,Queen Elizabeth II Conference Centre,05/03/2010,MERCURY AV LIMITED,Maintenance,Interface,10786,1121.25
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Interface,10789,17.7
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Interface,10789,53.38
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Event Management,10789,181.42
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Commercial,10789,22.13
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Administration,10789,71.76
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Operations,10789,135.68
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Event Management,10789,51.95
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Leith's at the Centre,Entertaining,Administration,10789,195.33
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,GERALD EVE,Consultants,Administration,10790,3250
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Grayling Live,Cost of Sales - Commission,Commercial,10791,1053
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,THAMES WATER UTILITIES LTD,Water,Operations,10792,4604.92
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,Fairlie McKenzie International,Cost of Sales - Commission,Commercial,10794,694.5
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,THE JWP GROUP,Cost of Sales - Equipment Hire,Interface,10796,1132
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,10797,3767
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10804,1682
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,PAKEX UK PLC,Maintenance,Operations,10805,489
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,10811,648
Communities And Local Government,Queen Elizabeth II Conference Centre,08/03/2010,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,10812,472
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,THE RIGHT SOLUTION LTD,Consultants,Commercial,10818,7817
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Commercial,10819,4.43
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Interface,10819,17.7
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Event Management,10819,219.27
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Interface,10819,191.88
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Event Management,10819,66.45
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Operations,10819,38.24
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Administration,10819,195.98
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Administration,10819,234.9
Communities And Local Government,Queen Elizabeth II Conference Centre,09/03/2010,Leith's at the Centre,Entertaining,Commercial,10819,11.8
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,VIV BROUGHTON,Advertising,Commercial,10821,600
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10823,855
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,10831,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,10832,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,VERIZON UK LIMITED,Marketing,Commercial,10832,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,TICKETT ENTERPRISES LTD,Consultants,Administration,10837,2695
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,10840,3609.14
Communities And Local Government,Queen Elizabeth II Conference Centre,10/03/2010,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,10840,788.13
Communities And Local Government,Queen Elizabeth II Conference Centre,11/03/2010,CORONA ENERGY,Gas,Operations,10847,11068.75
Communities And Local Government,Queen Elizabeth II Conference Centre,12/03/2010,MILLER EUROPE,Maintenance,Operations,10852,2165
Communities And Local Government,Queen Elizabeth II Conference Centre,12/03/2010,GovNet Communications,Cost of Sales - Commission,Interface,10853,450
Communities And Local Government,Queen Elizabeth II Conference Centre,12/03/2010,GovNet Communications,Cost of Sales - Commission,Interface,10854,450
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,THE EXHIBITING AGENCY LTD,Exhibitions,Commercial,10858,1125
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Consumables,Interface,10859,54.99
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Training,Administration,10859,397
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,10859,1003.44
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Event Management,10859,100
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,10859,52.91
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Marketing,Commercial,10859,45
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,10859,24
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Cost Of Sales - Consumables,Business Centre,10859,69.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,10859,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,10859,60.63
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,10859,149
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,10859,3304.16
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Exhibitions,Commercial,10859,360.32
Communities And Local Government,Queen Elizabeth II Conference Centre,15/03/2010,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,10859,27.94
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,VDC TRADING LIMITED,Maintenance,Interface,10861,852.78
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,FELTECH ELECTRONICS LTD,Maintenance,Interface,10862,1780
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,TERRY KING,Agency Labour,Interface,10864,675
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,DEPARTMENT FOR TRANSPORT,Pension Cost,Administration,10865,525.15
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,DEPARTMENT FOR TRANSPORT,Pension Cost,Administration,10866,525.15
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,Worldwide Business Research Limited,Cost of Sales - Commission,Commercial,10867,3451.08
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10870,863
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,10871,6787
Communities And Local Government,Queen Elizabeth II Conference Centre,16/03/2010,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,10871,5241
Communities And Local Government,Queen Elizabeth II Conference Centre,17/03/2010,BPR GROUP EUROPE LTD,Disposal Of Waste,Operations,10874,640
Communities And Local Government,Queen Elizabeth II Conference Centre,17/03/2010,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10879,1064
Communities And Local Government,Queen Elizabeth II Conference Centre,17/03/2010,Bosco O'Toole,Cost of Sales - Freelance Technicians,Interface,10880,1072
Communities And Local Government,Queen Elizabeth II Conference Centre,17/03/2010,VERIZON UK LIMITED,Cost of Sales - Telecommunications,ITC Department,10885,435.52
Communities And Local Government,Queen Elizabeth II Conference Centre,18/03/2010,Blue Cat Communications,Cost of Sales - Commission,Commercial,10887,1340.5
Communities And Local Government,Queen Elizabeth II Conference Centre,18/03/2010,Conference Connections Ltd,Cost of Sales - Commission,Commercial,10888,1180.73
Communities And Local Government,Queen Elizabeth II Conference Centre,18/03/2010,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,10889,462.5
Communities And Local Government,Queen Elizabeth II Conference Centre,19/03/2010,Lychee3 Solutions Ltd,Consultants,Commercial,10891,692.3
Communities And Local Government,Queen Elizabeth II Conference Centre,19/03/2010,Leith's at the Centre,Entertaining,Commercial,10892,863.1
Communities And Local Government,Queen Elizabeth II Conference Centre,19/03/2010,WATTERSTON ASSOCIATES LTD,Consultants,Commercial,10894,460
Communities And Local Government,Queen Elizabeth II Conference Centre,19/03/2010,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,10896,6450
Communities And Local Government,Queen Elizabeth II Conference Centre,22/03/2010,STANLEY PRODUCTIONS LTD,Cost of Sales - Consumables,Interface,10901,479
Communities And Local Government,Queen Elizabeth II Conference Centre,22/03/2010,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10902,824
Communities And Local Government,Queen Elizabeth II Conference Centre,22/03/2010,GLAZING REFURBISHMENT LTD,Maintenance,Operations,10908,7200
Communities And Local Government,Queen Elizabeth II Conference Centre,23/03/2010,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,10910,2080.5
Communities And Local Government,Queen Elizabeth II Conference Centre,23/03/2010,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,10911,3363
Communities And Local Government,Queen Elizabeth II Conference Centre,23/03/2010,Travel Services Ltd,Cost of Sales - Commission,Commercial,10913,3937.25
Communities And Local Government,Queen Elizabeth II Conference Centre,23/03/2010,MERCURY AV LIMITED,Audio Equipment,Interface,10917,6678.9
Communities And Local Government,Queen Elizabeth II Conference Centre,23/03/2010,NYS Corporate Limited,Cost of Sales - Commission,Commercial,10924,766.28
Communities And Local Government,Queen Elizabeth II Conference Centre,24/03/2010,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10936,910
Communities And Local Government,Queen Elizabeth II Conference Centre,24/03/2010,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10937,910
Communities And Local Government,Queen Elizabeth II Conference Centre,25/03/2010,CROWN BUSINESS COMM. LTD,Cost of Sales - Commission,Commercial,10940,3938.38
Communities And Local Government,Queen Elizabeth II Conference Centre,25/03/2010,Berry Marketing Services Ltd T/as Venuedirectory.com,Advertising,Commercial,10945,765
